zly
id,lyn,nas,ty1,ty2,leng,area,ly,pro1,sss1,ssx1,xz1,cun1,pro2,sss2,ssx2,xz2,cun2,detail,pic,jst,remark,update_time
20144,FHCR1H00000P,新塍塘,1,-1,14,0,,浙江省,,嘉兴秀洲区,新塍镇,新塍镇镇区,浙江省,,嘉兴南湖区,建设街道,建设街道,,,,,21/12/2021 15:14:30
20145,GA1BA000000R,芙蓉溪,1,2,16,53.1,GA1B0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20146,GC2BCCA0000P,通明江,1,-1,23,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20147,FHCFA000000P,连琪港,1,-1,9.7,0,,浙江省,,杭州余杭区,仓前镇,连具塘村,浙江省,,杭州余杭区,瓶窑镇,长命村,,,,,21/12/2021 15:14:30
20148,GE2CA000000R,寿泰溪,1,1,73,677,GE2C0000000S,福建省,,寿宁县,坑底乡,龙井村,福建省,,福安市,范坑乡,上坪村,后溪（寿宁县境内),,,,21/12/2021 15:14:30
20149,FHCFE000000P,通义港,1,-1,7.3,0,,浙江省,,杭州余杭区,仓前镇,永乐村,浙江省,,杭州余杭区,良渚镇,东莲村,,,,,21/12/2021 15:14:30
20150,GB4AA000000R,洪口坑,1,2,11,62.2,GB4A0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20151,GDDCA000000L,安溪,1,3,50,318,GDDC0000000L,浙江省,,庆元县,举水乡,龙井面村,浙江省,,庆元县,屏都镇,菊水村,乐溪（福建境内）,,,,21/12/2021 15:14:30
20152,GC22D000000S,白溪,1,0,72,624,,浙江省,,天台县,石粱镇,大同岭脚村,浙江省,,宁海县,越溪乡,越溪大桥,,,,,21/12/2021 15:14:30
20153,GC1B5A00000L,高楼溪,1,1,30,120,GC1B0000000S,浙江省,,瑞安市,湖岭镇,河上垟村,浙江省,,瑞安市,高楼镇,高三村,,,,,21/12/2021 15:14:30
20154,FHB1A2AD000P,杨家浦港,1,-1,15,0,,浙江省,,长兴县,洪桥镇,金星村,浙江省,,长兴县,雉城镇,白莲桥村,,,,,21/12/2021 15:14:30
