zly
id,lyn,nas,ty1,ty2,leng,area,ly,pro1,sss1,ssx1,xz1,cun1,pro2,sss2,ssx2,xz2,cun2,detail,pic,jst,remark,update_time
20317,GA22A000000R,上山溪,1,1,40,155,GA000000000S,浙江省,,衢州衢江区,大洲镇,渔沧村,浙江省,,衢州衢江区,樟潭街道,安仁铺村,罗张溪，罗樟源(衢州市衢江区樟潭镇缪家村石棚以上),,,,21/12/2021 15:14:30
20318,GA6ACBA0000P,漓渚江,1,-1,9.9,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20319,GC22E000000S,凫溪,1,0,28,184,,浙江省,,宁海县,深甽镇,孔横山,浙江省,,宁海县,西店镇,海涂,,,,,21/12/2021 15:14:30
20320,GA1CDA00000L,江郎溪,1,3,15,92.5,GA1CD000000R,,,,,,,,,,,界牌溪（江山市清湖镇东儒以上）,,,,21/12/2021 15:14:30
20321,FHCBK000000P,白米塘,1,-1,9.5,0,,浙江省,,湖州南浔区,南浔镇,杨华村/伍林村,浙江省,,湖州南浔区,南浔镇,宝善村,,,,,21/12/2021 15:14:30
20322,FHB1A1A0000M,沉渎港,1,2,24,100,,浙江省,,长兴县,夹浦镇,顾渚村,浙江省,,长兴县,夹浦镇,西蒋村,金沙涧,,,,21/12/2021 15:14:30
20323,FHCKB000000P,长山河,1,-1,20,0,,浙江省,,德清县,洛舍镇,东衡村,浙江省,,德清县,新市镇,勇兴村,长洛河,,,,21/12/2021 15:14:30
20324,GE24EB00000L,库口溪,1,1,25,105,GE24E000000S,浙江省,,泰顺县,松垟乡,松垟乡灵乾村,福建省,,福鼎市,叠石乡,库口村,彭溪,,,,21/12/2021 15:14:30
20325,GA6AE000000P,长水江,1,-1,11,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20326,GA7A0GCAA00K,四十里河,1,-1,12,0,,浙江省,,上虞市,梁湖镇,洪山湖居委,浙江省,,上虞市,梁湖镇,外梁湖村,,,,,21/12/2021 15:14:30
20327,GC21AAAN000P,一条河,1,-1,23,0,,浙江省,,台州椒江区,海门街道,群辉村,浙江省,,温岭市,滨海镇,闸南村,,,,,21/12/2021 15:14:30
20328,GA6AKA00000P,三工段横河,1,-1,22,0,,浙江省,,杭州萧山区,河庄街道,新围村,浙江省,,杭州萧山区,,新街镇垦种,,,,,21/12/2021 15:14:30
20329,FHCSGA00000P,乍浦塘,1,-1,11,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20330,GB5AAAC0000P,划龙桥河,1,-1,3.7,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20331,GAEEA000000R,枫桥江,1,3,45,408,GAEE0000000B,浙江省,,诸暨市,东白湖镇,西岩村,浙江省,,诸暨市,江藻镇,草湖江口村,,,,,21/12/2021 15:14:30
20332,FHCS1C00000P,南市河,1,-1,8.1,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20333,GAA2B000000R,关川,1,2,21,129,GAA00000000R,浙江省,,遂昌县,王村口镇,坑里村,浙江省,,遂昌县,王村口镇,桥西村,,,,,21/12/2021 15:14:30
20334,GC2A15A0000R,十七都坑,1,1,18,59.3,GC2A0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20335,GABBE000000L,白鹭溪,1,3,26,118,GABB0000000L,浙江省,,武义县,白姆乡,白姆,浙江省,,武义县,履坦镇,履三,,,,,21/12/2021 15:14:30
20336,GACED000000R,十八都源,1,3,28,85.6,GACE0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20337,GC2BA000000L,姚江,1,1,103,703,GC2B0000000S,浙江省,,余姚市,大岚镇,大岚村,浙江省,,宁波海曙区,中马街道,新江桥,,,,,21/12/2021 15:14:30
20338,GB1F0000000R,安仁溪,1,1,31,171,GB000000000S,浙江省,,龙泉市,龙南乡,兴和村,浙江省,,龙泉市,安仁镇,安仁口村,,,,,21/12/2021 15:14:30
20339,FHCHD000000P,乔司港,1,-1,8.9,0,,浙江省,,杭州江干区,下沙街道,乔司农场,浙江省,,杭州余杭区,南苑街道,苏家村,,,,,21/12/2021 15:14:30
20340,GAFG0000000L,小舜江,1,2,67,549,GAF00000000R,浙江省,,嵊州市,竹溪乡,舜源村,浙江省,,上虞市,上浦镇,四峰村,,,,,21/12/2021 15:14:30
20341,FHCBF000000P,丁泾塘,1,-1,8.5,0,,浙江省,,湖州南浔区,双林镇,后坝村,浙江省,,湖州南浔区,南浔镇,祜村村,,,,,21/12/2021 15:14:30
20342,GB5AAAB0000P,瞿溪,1,-1,25,0,,浙江省,,温州瓯海区,瞿溪镇,泉东川,浙江省,,温州鹿城区,莲池街道,莲池街道,,,,,21/12/2021 15:14:30
20343,GAE00000000R,浦阳江,1,1,150,3455,GA000000000S,浙江省,,浦江县,花桥乡,高塘村,浙江省,,杭州萧山区,闻堰镇,三江口村,,,,,21/12/2021 15:14:30
20344,GAFCC000000L,潜溪江,1,3,21,76.1,GAFC0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20345,FG1D1A00000L,大桥溪,1,3,41,201,FG1D0000000E,浙江省,,江山市,坛石镇,定家坞村,江西省,,玉山县,岩瑞镇,东津桥村,古城溪、甘溪,,,,21/12/2021 15:14:30
20346,GC2AAB00000R,双庙溪,1,2,14,59,GC2AA000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20347,GA51A000000R,桐庐大源溪,1,1,29,147,GA000000000S,浙江省,,桐庐县,凤川镇,大源村,浙江省,,桐庐县,凤川镇,柴埠村,,,,,21/12/2021 15:14:30
20348,GADCB000000L,藻溪,1,3,27,114,GADC0000000L,浙江省,,临安市,玲珑街道,崂山村,浙江省,,临安市,於潜镇,祈祥村,,,,,21/12/2021 15:14:30
20349,FHCPA000000P,横路港,1,-1,22,0,,浙江省,,湖州吴兴区,织里镇,陆家湾村,江苏省,,吴江市,横扇镇,圣牛村,,,,,21/12/2021 15:14:30
20350,FHBA1BFA000L,阜溪,1,4,10,68,FHBA1BF0000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20351,GC1BE000000L,金潮港,1,1,45,354,GC1B0000000S,浙江省,,青田县,仁庄镇,双岭村,浙江省,,瑞安市,陶山镇,沙洲一村,,,,,21/12/2021 15:14:30
20352,GAE3A000000R,洪浦江,1,2,27,67.6,GAE00000000R,,,,,,,,,,,越山溪（寺下张断面以上）,,,,21/12/2021 15:14:30
20353,GC21AAAG000P,青龙浦,1,-1,17,0,,浙江省,,台州路桥区,路南街道,洪洋村,浙江省,,台州路桥区,蓬街镇,十塘村,,,,,21/12/2021 15:14:30
20354,FHCJ1A00000P,崇长港,1,-1,7.3,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20355,GC2262A0000S,峻壁溪,1,0,13,52,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20356,GA6AHD00000P,大治河,1,-1,8.8,0,,浙江省,,杭州萧山区,衙前镇,南庄王村,浙江省,,杭州萧山区,,大治河排涝闸,,,,,21/12/2021 15:14:30
20357,FHCSM000000P,新港河,1,-1,18,0,,浙江省,,平湖市,当湖街道,三港村,浙江省,,平湖市,独山港镇,建中村,,,,,21/12/2021 15:14:30
20358,FHCSNA00000P,丰收河,1,-1,15,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20359,GA2D0000000R,罗家溪,1,1,43,255,GA000000000S,浙江省,,龙游县,罗家乡,岭根村,浙江省,,龙游县,湖镇镇,下童村,马府源(龙游县湖镇下叶以上),,,,21/12/2021 15:14:30
20360,FHCS1B00000P,西青龙港,1,-1,12,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20361,FHB1A2ACB00P,九里塘港,1,-1,6.3,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20362,FHBA1A4A000L,里溪,1,4,18,72.7,FHBA1A00000M,,,,,,,,,,,,,,,21/12/2021 15:14:30
20363,FHBA1BA0000R,南溪,1,3,22,128,FHBA1B00000M,浙江省,,临安市,太湖源镇,东天目村,浙江省,,临安市,太湖源镇,浪口村,,,,,21/12/2021 15:14:30
20364,GACF2A00000L,浪川溪,1,3,32,89.6,GACF0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20365,GA6AC3F0000P,直塘江,1,-1,6,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20366,GC2BC0GAAB0Y,虞甬运河,1,-1,15,0,,浙江省,,余姚市,牟山镇,牟山村,浙江省,,上虞市,百官街道,百官镇,,,,,21/12/2021 15:14:30
20367,GA7AF1A0000P,灵峰浦,1,-1,6.5,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20368,FHCJHB00000P,麻泾港,1,-1,13,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20369,GE2C1A00000R,三魁溪,1,1,18,92.9,GE2C0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20370,GC2ADA00000R,半岭溪,1,2,14,55.9,GC2AD000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20371,GA1C6A00000L,丰足溪,1,2,10,60.1,GA1C0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20372,GA4C0000000R,芦茨溪,1,1,26,156,GA000000000S,浙江省,,建德市,乾潭镇,梓洲村,浙江省,,桐庐县,富春江镇,芦茨村,,,,,21/12/2021 15:14:30
20373,GACGB000000R,乌龙溪,1,3,16,55.4,GACG0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20374,GBABB000000R,安民源,1,3,25,100,GBAB0000000R,浙江省,,松阳县,安民乡,安岱后村,浙江省,,松阳县,大东坝镇,五部村,,,,,21/12/2021 15:14:30
20375,GB1G0000000R,浮云溪,1,1,29,339,GB000000000S,浙江省,,云和县,崇头镇,叶垟村,浙江省,,云和县,浮云街道,局村村,,,,,21/12/2021 15:14:30
20376,GA12C000000R,龙绕溪,1,1,31,122,GA000000000S,浙江省,,常山县,球川镇,东坑村,浙江省,,常山县,天马镇,上蒋村,,,,,21/12/2021 15:14:30
20377,GADBB000000L,蒲溪,1,3,35,101,GADB0000000R,浙江省,,临安市,河桥镇,学川村,浙江省,,临安市,河桥镇,河桥村,,,,,21/12/2021 15:14:30
20378,GA6AD2A0000P,大长坂,1,-1,6.2,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20379,GA7AB2A0000P,水云浦,1,-1,22,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20380,GA6AK000000P,抢险河,1,-1,34,0,,浙江省,,杭州萧山区,河庄街道,一工段排涝闸,浙江省,,杭州萧山区,河庄街道,三联村,,,,,21/12/2021 15:14:30
20381,GBABA000000L,玉岩溪,1,3,14,73.3,GBAB0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20382,GB11A000000L,瑞垟溪,1,1,21,69.3,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20383,GC2ABE00000L,三茅溪,1,2,25,156,GC2AB000000L,浙江省,,新昌县,儒岙镇,里外岙村,浙江省,,天台县,赤城街道,清溪村,,,,,21/12/2021 15:14:30
20384,GA61BACA000P,2850隔堤护塘河,1,-1,4,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20385,GACGD000000L,童家溪,1,3,17,56.3,GACG0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20386,GAFD0000000L,长乐江,1,2,72,885,GAF00000000R,浙江省,,东阳市,佐村镇,西营,浙江省,,嵊州市,鹿山街道,鹿山街道,西溪（南溪汇合断面以上）,,,,21/12/2021 15:14:30
20387,FHCK3A00000P,月明塘,1,-1,7.7,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20388,GC1B6A00000L,桐溪,1,1,13,50,GC1B0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20389,FHB1A2ABA00P,夹浦港,1,-1,3.8,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20390,GA6AKE00000P,八工段直河,1,-1,10,0,,浙江省,,杭州萧山区,新湾街道,共建村,浙江省,,杭州萧山区,,各乡镇围垦,,,,,21/12/2021 15:14:30
20391,FHCJ1F00000P,白马塘,1,-1,13,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20392,GACEA000000L,夏中溪,1,3,20,50.3,GACE0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20393,GC2BAB00000R,洋溪河,1,2,22,86.2,GC2BA000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20394,FHCJA000000P,横山港,1,-1,15,0,,浙江省,,杭州余杭区,星桥街道,南星村,浙江省,,杭州余杭区,运河镇,杭信村,,,,,21/12/2021 15:14:30
20395,GA5AA000000R,南安溪,1,2,19,71.8,GA5A0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20396,GC11B000000S,括巴河,1,0,29,104,,浙江省,,苍南县,金乡镇,牛卧龙村,浙江省,,苍南县,,江南海涂,,,,,21/12/2021 15:14:30
20397,GA5AC000000L,松溪,1,2,28,159,GA5A0000000L,浙江省,,临安市,三口镇,上钱村,浙江省,,富阳市,新登镇,双塔村,三口水（临安富阳交界以上）、永昌溪（永昌镇以上）,,,,21/12/2021 15:14:30
20398,GB1CA000000R,锦溪,1,2,29,96.5,GB1C0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20399,GBC2A000000L,黄水坑,1,2,25,84.5,GBC00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20400,FHCTA000000P,罗汉塘,1,-1,18,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20401,GC21AAAA000P,山水泾,1,-1,14,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20402,GA1CEA00000R,金龙溪,1,3,25,66.8,GA1CE000000R,,,,,,,,,,,金村溪（江山市碗窑乡大龙以上）,,,,21/12/2021 15:14:30
20403,GBA2B000000L,梧桐源,1,2,20,61.4,GBA00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20404,GA5A0000000L,渌渚江,1,1,64,749,GA000000000S,浙江省,,临安市,藻溪镇,严家村,浙江省,,富阳市,渌渚镇,新港村,葛溪（钦贤罗家以上）,,,,21/12/2021 15:14:30
20405,GA24A000000L,模环溪,1,1,30,102,GA000000000S,浙江省,,建德市,航头镇,石木岭村,浙江省,,龙游县,模环乡,虎龙村,双溪(龙游县兰塘乡凤基坤以上),,,,21/12/2021 15:14:30
20406,GBDCB000000L,山坑溪,1,3,16,54.6,GBDC0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20407,GAEEAB00000R,孝泉江,1,4,17,77.2,GAEEA000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20408,GADDA000000R,麻溪,1,3,24,79,GADD0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20409,GACFB000000L,郁川,1,3,42,260,GACF0000000R,浙江省,,淳安县,姜家镇,白坪村,浙江省,,淳安县,姜家镇,霞社村,,,,,21/12/2021 15:14:30
20410,FHBA21B0000P,西苕溪古道,1,-1,6.6,0,,,,,,,,,,,,龙溪港,,,,21/12/2021 15:14:30
20411,GAEB0000000R,大陈江,1,2,37,247,GAE00000000R,浙江省,,义乌市,大陈镇,大畈村,浙江省,,诸暨市,安华镇,新一村,鸽溪,,,,21/12/2021 15:14:30
20412,GACEBA00000R,齐坑溪,1,4,23,63.7,GACEB000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20413,FHCT0000000P,海盐塘,1,-1,37,0,,浙江省,,海盐县,武原街道,城南村,浙江省,,嘉兴南湖区,南湖街道,南湖社区,,,,,21/12/2021 15:14:30
20414,GC1AAA00000R,藻溪,1,2,20,104,GC1AA000000R,浙江省,,苍南县,矾山镇,高丰村,浙江省,,苍南县,藻溪镇,流石村,,,,,21/12/2021 15:14:30
20415,FHCR1A00000P,大坝水路,1,-1,14,0,,浙江省,,嘉兴秀洲区,王江泾镇,大坝村,浙江省,,嘉善县,陶庄镇,汾湖村,,,,,21/12/2021 15:14:30
20416,GAB00000000R,金华江,1,1,182,6798,GA000000000S,浙江省,,磐安县,尚湖镇,岭干村,浙江省,,兰溪市,兰江街道,溪西,西溪（磐安境内）、北江（东阳境内）、东阳江（东阳境内）、义乌江（义乌境内）,,,,21/12/2021 15:14:30
20417,GE2C1C00000L,牛渡潭,1,1,45,300,GE2C0000000S,福建省,,柘荣县,乍洋乡,乍洋村,浙江省,,泰顺县,仕阳镇,双路村,柘荣溪，管阳溪（福鼎县境内）,,,,21/12/2021 15:14:30
20418,GAC7C000000R,富溪源,1,2,17,52.1,GAC00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20419,FHBA21BA000P,横渚塘河,1,-1,5.5,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20420,GACEC000000L,潭头溪,1,3,22,160,GACE0000000L,浙江省,,淳安县,文昌镇,王家源村,浙江省,,淳安县,文昌镇,文昌村,,,,,21/12/2021 15:14:30
20421,GAFGA000000L,北溪,1,3,25,125,GAFG0000000L,浙江省,,绍兴县,稽东镇,石岙村,浙江省,,绍兴县,王坛镇,肇湖村,,,,,21/12/2021 15:14:30
20422,GC2ABG00000L,苍山溪,1,2,22,169,GC2AB000000L,浙江省,,天台县,洪畴镇,坪东村,浙江省,,天台县,三合镇,新村,苍山倒溪(天台县境内),,,,21/12/2021 15:14:30
20423,GB2BA000000L,库川,1,2,24,71.6,GB2B0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20424,GA14A000000L,大头源,1,1,35,109,GA000000000S,浙江省,,衢州柯城区,七里乡,上村村,浙江省,,衢州柯城区,白云街道,亭川村,石梁溪、柘溪，寺桥源（衢州市柯城区鹿鸣山桥庵里北以上）,,,,21/12/2021 15:14:30
20425,GC2AB000000L,始丰溪,1,1,127,1618,GC2A0000000S,浙江省,,磐安县,大盘镇,光明村,浙江省,,临海市,永丰镇,三江村,,,,,21/12/2021 15:14:30
20426,GAEE1A00000R,高湖南渠,1,3,14,88.9,GAEE0000000B,,,,,,,,,,,,,,,21/12/2021 15:14:30
20427,FHB1A1B0000M,合溪,1,2,42,240,,浙江省,,长兴县,煤山镇,白岘,浙江省,,长兴县,雉城镇,彭城村,北涧（南涧河汇合断面以上）、合溪新港（小浦汇合断面至太湖口）,,,,21/12/2021 15:14:30
20428,GB2BC000000R,巨溪,1,2,22,70.3,GB2B0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20429,GA13A000000L,大俱源,1,1,25,82.1,GA000000000S,,,,,,,,,,,"长原溪、秀俱源,沟溪(衢州市柯城区沟溪乡沟溪口以上)",,,,21/12/2021 15:14:30
20430,FHCRC000000P,清溪河,1,-1,11,0,,江苏省,,吴江市,盛泽镇,坝里村,浙江省,,嘉兴秀洲区,王江泾镇,长虹村,,,,,21/12/2021 15:14:30
20431,GB4C0000000L,菇溪,1,1,35,153,GB000000000S,浙江省,,青田县,黄垟乡,峰山村,浙江省,,温州鹿城区,临江镇,西洲村,,,,,21/12/2021 15:14:30
20432,FHBA1AAA000R,景溪,1,5,18,89.6,FHBA1AA0000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20433,GA23BA00000R,泽随溪,1,2,20,126,GA23B000000L,浙江省,,衢州衢江区,莲花镇,大路口村,浙江省,,龙游县,小南海镇,新山水村,,,,,21/12/2021 15:14:30
20434,GA53B000000L,青云浦,1,1,24,104,GA000000000S,浙江省,,富阳市,春建乡,咸康村,浙江省,,富阳市,春江街道,秦望社区,,,,,21/12/2021 15:14:30
20435,GA6AGC00000P,瓜渚湖直江,1,-1,13,0,,浙江省,,绍兴县,柯岩街道,堰西村,浙江省,,绍兴县,齐贤镇,官湖沿村,,,,,21/12/2021 15:14:30
20436,GA61BAD0000P,新建河,1,-1,7.2,0,,浙江省,,杭州江干区,下沙街道,乔司农场,浙江省,,杭州江干区,下沙街道,乔司农场,,,,,21/12/2021 15:14:30
20437,GBB00000000L,好溪,1,1,128,1365,GB000000000S,浙江省,,磐安县,双峰乡,溪上村,浙江省,,丽水莲都区,岩泉街道,古城村,,,,,21/12/2021 15:14:30
20438,FHCU0000000P,长水塘,1,-1,26,0,,浙江省,,海宁市,硖石街道,硖石街道镇区,浙江省,,嘉兴南湖区,新兴街道,新兴街道,,,,,21/12/2021 15:14:30
20439,GC211B00000S,清江,1,0,24,147,,浙江省,,乐清市,芙蓉镇,湖上垟村,浙江省,,乐清市,清江镇,上埠头村,,,,,21/12/2021 15:14:30
20440,GA1CF000000R,白马溪,1,2,21,68.3,GA1C0000000R,,,,,,,,,,,塘里坞源(衢州市衢江区廿里镇里珠村以上),,,,21/12/2021 15:14:30
20441,GACF2B00000R,丰家源,1,3,23,90.1,GACF0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20442,GACEB000000R,秋源,1,3,42,194,GACE0000000L,浙江省,,淳安县,王阜乡,闻家村,浙江省,,淳安县,临岐镇,临岐村,屏门溪,,,,21/12/2021 15:14:30
20443,FHCSF000000P,曹兑港,1,-1,8.9,0,,浙江省,,平湖市,曹桥街道,曹桥村,浙江省,,平湖市,当湖街道,南市东村,,,,,21/12/2021 15:14:30
20444,GA7A0GCAB00K,沥北河,1,-1,15,0,,浙江省,,上虞市,沥海镇,蒋家村,浙江省,,上虞市,沥海镇,曹娥江大闸,,,,,21/12/2021 15:14:30
20445,FHBA1ACBA00R,梅园溪,1,6,18,61.9,FHBA1ACB000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20446,GC2BC0GAD00K,三塘横江,1,-1,73,0,,浙江省,,余姚市,黄家埠镇,十六户村,浙江省,,慈溪市,龙山镇,西门外村,,,,,21/12/2021 15:14:30
20447,FHB1A1CA000L,清东涧,1,4,18,67,FHB1A1C0000M,,,,,,,,,,,,,,,21/12/2021 15:14:30
20448,GBAB0000000R,小港,1,2,67,496,GBA00000000L,浙江省,,松阳县,枫坪乡,南胜村,浙江省,,松阳县,大东坝镇,西山村,,,,,21/12/2021 15:14:30
20449,GA6AKJ00000P,一工段横河,1,-1,3.1,0,,浙江省,,杭州萧山区,河庄街道,三联村,浙江省,,杭州萧山区,河庄街道,一工段排涝闸,,,,,21/12/2021 15:14:30
20450,FHB1A1C0000M,泗安溪,1,3,62,181,,安徽省,,广德县,新杭镇,青岭村,浙江省,,长兴县,吕山乡,雁陶村,泗安塘（泗安水库以下）,,,,21/12/2021 15:14:30
20451,GA12D000000R,南门溪,1,1,25,185,GA000000000S,浙江省,,常山县,白石镇,小白石村,浙江省,,常山县,天马镇,七里弄村,,,,,21/12/2021 15:14:30
20452,GBBBA000000L,盘溪,1,3,31,90.6,GBBB0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20453,GA2CD000000L,庙下溪,1,2,18,69.6,GA2C0000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20454,FHCSE000000P,余丰塘,1,-1,21,0,,浙江省,,嘉兴南湖区,余新镇,农庄村,浙江省,,嘉兴南湖区,新丰镇,杨庄村,,,,,21/12/2021 15:14:30
20455,GC1BFAAA000P,郑宋河,1,-1,11,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20456,GAFDD000000L,富润江,1,3,19,53.2,GAFD0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20457,GB11B000000L,青溪,1,1,20,84.7,GB000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20458,GC2BC0GAC00K,陶家路江,1,-1,20,0,,浙江省,,余姚市,牟山镇,狮山村,浙江省,,余姚市,泗门镇,陶家路村,,,,,21/12/2021 15:14:30
20459,GA7AACA0000P,西一闸干河,1,-1,24,0,,浙江省,,上虞市,沥海镇,水利局,浙江省,,上虞市,沥海镇,钱塘江水域,,,,,21/12/2021 15:14:30
20460,FG1D11C0000L,球川溪,1,3,24,51.6,FG1D0000000E,,,,,,,,,,,,,,,21/12/2021 15:14:30
20461,GA61BAG0000P,新塘河东段,1,-1,25,0,,浙江省,,海宁市,盐官镇,盐官村,浙江省,,海宁市,黄湾镇,尖山村,,,,,21/12/2021 15:14:30
20462,GC2BCEDB000P,官山河,1,-1,4.2,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20463,FHCCA000000P,排塘港,1,-1,17,0,,浙江省,,湖州南浔区,和孚镇,佛堂兜村,浙江省,,湖州南浔区,和孚镇,横港村,,,,,21/12/2021 15:14:30
20464,FHBA1BD0000L,北苕溪,1,3,44,325,FHBA1B00000M,浙江省,,安吉县,山川乡,马家弄村,浙江省,,杭州余杭区,瓶窑镇,南山村,新开河（固厚河入口以下）,,,,21/12/2021 15:14:30
20465,GC2ACA00000R,琅坑溪,1,2,18,60.7,GC2AC000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20466,GA6AC3C0000P,上下沙盆底,1,-1,2.6,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20467,GC2BCCBA000P,食禄桥江,1,-1,4.8,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20468,GB1E0000000L,雁川溪,1,1,39,162,GB000000000S,浙江省,,遂昌县,垵口乡,桂洋村,浙江省,,龙泉市,道太乡,大白岸村,,,,,21/12/2021 15:14:30
20469,GACFCC00000R,上梧溪,1,4,17,115,GACFC000000R,浙江省,,淳安县,安阳乡,乌龙村,浙江省,,淳安县,安阳乡,五堡村,,,,,21/12/2021 15:14:30
20470,GACE5A00000R,汪宅溪,1,3,15,50,GACE0000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20471,GB1A0000000L,八都溪,1,1,46,395,GB000000000S,浙江省,,龙泉市,宝溪乡,塘源村,浙江省,,龙泉市,兰巨乡,安吉村,,,,,21/12/2021 15:14:30
20472,FHBA1A00000M,西苕溪,1,3,135,1890,FHBA1B00000M,浙江省,,安吉县,杭垓镇,高村村,浙江省,,湖州吴兴区,白雀乡,俞家田村,西溪（南溪汇合断面以上）、旄儿港（展桥至五港交汇处）,,,,21/12/2021 15:14:30
20473,GA34A000000L,大洋溪,1,1,16,64.2,GA000000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20474,FHCKD000000P,东大港,1,-1,11,0,,浙江省,,德清县,乾元镇,乾元镇集镇,浙江省,,杭州余杭区,塘栖镇,塘栖村,,,,,21/12/2021 15:14:30
20475,GAC7B000000L,汪家源,1,2,25,88,GAC00000000L,,,,,,,,,,,,,,,21/12/2021 15:14:30
20476,FHCKK000000P,郁宅港,1,-1,4.7,0,,浙江省,,杭州余杭区,良渚镇,勾庄村,浙江省,,杭州余杭区,良渚镇,运河村,,,,,21/12/2021 15:14:30
20477,GC1B5C00000R,曹村港,1,1,16,51.5,GC1B0000000S,,,,,,,,,,,,,,,21/12/2021 15:14:30
20478,GC22DA00000R,混水溪,1,1,18,51.3,GC22D000000S,,,,,,,,,,,天封坑(天台县境内),,,,21/12/2021 15:14:30
20479,GC2BBBAA000P,环湖河,1,-1,6,0,,,,,,,,,,,,,,,,21/12/2021 15:14:30
20480,GBCE0000000R,炉西坑,1,2,41,202,GBC00000000R,浙江省,,景宁县,东坑镇,茗源村,浙江省,,景宁县,渤海镇,炉西坑村,,,,,21/12/2021 15:14:30
20481,GDDCB000000R,竹口溪,1,3,35,292,GDDC0000000L,浙江省,,庆元县,黄田镇,朱黄村,福建省,,松溪县,旧县乡,六墩村,,,,,21/12/2021 15:14:30
20482,FHCJB000000P,禾丰港,1,-1,9.9,0,,浙江省,,杭州余杭区,东湖街道,红丰村,浙江省,,杭州余杭区,运河镇,五杭村,,,,,21/12/2021 15:14:30
20483,GADCAA00000R,虞溪,1,4,28,96,GADCA000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20484,GAB31A00000L,桐溪,1,2,23,59.8,GAB00000000R,,,,,,,,,,,,,,,21/12/2021 15:14:30
20485,GDDC4B00000L,七里溪,1,3,25,111,GDDC0000000L,福建省,,政和县,铁山镇,高林村,福建省,,松溪县,松源街道,南门村,,,,,21/12/2021 15:14:30
