"id","zh","pro","sss","ssx","zl","zm","item","ir","iw","jd","wd","jm","zz","ly","xly","class","jjsw","bzsw","xxsw","zcsw","htz","time","update_time"
"109","63005260","浙江省","湖州市","吴兴区","RR","吴兴向阳水库","PZ","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"110","63005280","浙江省","湖州市","吴兴区","RR","西羊山水库","PZ","1","1","119.99176","30.62932",,,"苕溪",,,,,,,,,"2/12/2021 10:57:22"
"111","63005290","浙江省","湖州市","吴兴区","RR","管门冲水库","PZ","1","1","119.978431","30.653971",,,"苕溪",,,,,,,,,"2/12/2021 10:57:40"
"112","63005300","浙江省","湖州市","吴兴区","RR","老虎潭水库","PZ","1","1","119.942304","30.672598",,,"苕溪",,,,,,"49",,,"2/12/2021 10:56:36"
"113","63005600","浙江省","湖州市","吴兴区","ZZ","埭溪","PZ","1","1","120.013565","30.667021","85黄海","吴兴区埭溪镇","苕溪",,,"4.66","5.66",,,"6.309","1984-06-14","24/10/2021 14:42:54"
"114","63005620","浙江省","湖州市","吴兴区","RR","革命水库","PZ","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"115","63005640","浙江省","湖州市","吴兴区","RR","吴兴红旗水库","PZ","1","1","119.919968","30.667808",,,"苕溪",,,,,,,,,"2/12/2021 10:57:12"
"116","63005660","浙江省","湖州市","吴兴区","RR","吴兴三八水库","PZ","1","1","119.933872","30.72753",,,"苕溪",,,,,,,,,"2/12/2021 10:57:30"
"117","63005680","浙江省","湖州市","吴兴区","RR","利山水库","PZ","1","1","119.929087","30.707899",,,"苕溪",,,,,,,,,"2/12/2021 10:56:25"
"118","63005700","浙江省","湖州市","吴兴区","RR","五四水库","PZ","1","1","119.970846","30.717157",,,"苕溪",,,,,,,,,"2/12/2021 10:58:05"
"119","63005740","浙江省","湖州市","吴兴区","RR","风车口水库","PZ","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"120","63005800","浙江省","湖州市","吴兴区","DD","鲇鱼口闸上","Z","1","1","120.06087","30.670841","85黄海","东林镇鲇鱼口闸","苕溪",,,"2.96","3.86",,,"4.699","1984-06-14","24/10/2021 14:42:54"
"121","63005850","浙江省","湖州市","吴兴区","RR","五丰水库","PZ","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"122","63005900","浙江省","湖州市","吴兴区","RR","吴兴南山水库","PZ","1","1","120.035426","30.727865",,,"苕溪",,,,,,,,,"2/12/2021 10:57:20"
"123","63005950","浙江省","湖州市","吴兴区","ZZ","三世河","ZP","1","1","120.056886","30.751692",,,"苕溪",,,,,,,,,"2/12/2021 10:57:38"
"124","63006000","浙江省","湖州市","南浔区","DD","菁山闸上","PZ","1","1","120.06979","30.723291","85黄海","菱湖镇三山村","苕溪",,,"2.86","3.66",,,"4.509","1984-06-14","24/10/2021 14:42:54"
"125","63006300","浙江省","湖州市","吴兴区","DD","湖州船闸","ZQ","1","1","120.105371","30.849998","85黄海","南门湖州船闸","苕溪",,,"2.76","3.26",,,"3.989","1999-07-01","24/10/2021 14:42:54"
"126","63006500","浙江省","湖州市","吴兴区","ZZ","妙西","PZ","1","1","120.008758","30.782406",,,"苕溪",,,,,,,,,"2/12/2021 10:57:27"
"127","63006620","浙江省","湖州市","吴兴区","RR","稍康水库","PZ","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"128","63006640","浙江省","湖州市","吴兴区","RR","石山岭水库","PZ","1","1","119.994661","30.731647",,,"苕溪",,,,,,,,,"2/12/2021 10:56:23"
"129","63006660","浙江省","湖州市","吴兴区","RR","霞幕山水库","PZ","1","1",,,,,,,,,,,,,,"22/2/2021 01:24:16"
"130","63006680","浙江省","湖州市","吴兴区","RR","盛坞水库","PZ","1","1","119.97755","30.763056",,,"苕溪",,,,,,,,,"2/12/2021 10:56:42"
"131","63006800","浙江省","湖州市","安吉县","RR","赋石水库","PZ","1","1","119.483172","30.633535",,,"苕溪",,,,,,"79.12",,,"1/12/2021 18:54:49"
"132","63007400","浙江省","湖州市","安吉县","ZZ","横塘村","PZ","1","1","119.71122","30.738306","85黄海","安吉县递铺镇柴潭埠","苕溪",,,"6.67","8.17",,,"10.456","1956-08-02","24/10/2021 14:42:54"
"133","63007600","浙江省","湖州市","安吉县","ZZ","梅溪","PZ","1","1","119.755378","30.805582","85黄海","安吉县梅溪镇","苕溪",,,"5.17","6.17",,,"7.744","1963-09-13","24/10/2021 14:42:54"
"134","63007602","浙江省","湖州市","安吉县","ZZ","乌象坝","Z","1","1","119.606","30.646",,,"苕溪",,,,,,,,,"2/12/2021 10:56:31"
"135","63007800","浙江省","湖州市","长兴县","ZZ","小溪口","ZP","1","1","119.825274","30.84277",,,"苕溪",,,,,,,,,"2/12/2021 10:56:50"
"136","63008100","浙江省","湖州市","长兴县","ZQ","港口","PZ","1","1","119.86896","30.868329","85黄海","和平镇施家村","苕溪",,,"3.76","4.76",,,"6.069","2013-10-08","24/10/2021 14:42:54"
"137","63008450","浙江省","湖州市","安吉县","RR","芦坞里水库","ZP","1","1","119.275278","30.586389",,,"苕溪",,,,,,,,,"2/12/2021 10:57:25"
"138","63008500","浙江省","湖州市","安吉县","RR","油车水库","PZ","1","1","119.486384","30.654696",,,"苕溪",,,,,,,,,"2/12/2021 10:56:21"
"139","63008800","浙江省","湖州市","安吉县","RR","老石坎水库","PZ","1","1","119.473164","30.53918",,,"苕溪",,,,,,"115.13",,,"1/12/2021 18:54:49"
"140","63009150","浙江省","湖州市","安吉县","ZZ","香溢湖","Z","1","1","119.653602","30.597498",,,"苕溪",,,,,,,,,"2/12/2021 10:56:58"
"141","63009400","浙江省","湖州市","安吉县","PP","孝丰","P","1","1","119.552743","30.592927",,,"苕溪",,,,,,,,,"2/12/2021 14:03:26"
